Snow ratio,Log likelihood,Error std,Residual
0.5035,-1225817.919,3.0351,8.8128
0.5098,-1205058.4804,3.0351,8.4306
0.5201,-1173556.8464,3.0351,7.8045
0.5201,-1173556.8464,3.0351,8.8688
0.5366,-1129464.9268,3.0351,6.7985
0.5433,-1113933.7465,3.0351,6.392
0.5433,-1113933.7465,3.0351,6.5795
0.5467,-1106496.2326,3.0351,6.1841
0.5481,-1103527.8223,3.0351,6.0983
0.5707,-1064000.2558,3.0351,4.7263
0.5707,-1064000.2558,3.0351,4.786
0.5726,-1061432.3506,3.0351,4.6142
0.5885,-1043378.9087,3.0351,3.644
0.5885,-1043378.9087,3.0351,4.9901
0.6019,-1034021.6978,3.0351,2.8321
0.6123,-1030362.7073,3.0351,2.1996
0.6123,-1030362.7073,3.0351,1.2973
0.6123,-1030362.7073,3.0351,0.7837
0.6123,-1030362.7073,3.0351,3.6292
0.6123,-1030362.7073,3.0351,3.3726
0.6123,-1030362.7073,3.0351,2.7293
0.6123,-1030362.7073,3.0351,2.3278
0.6123,-1030362.7073,3.0351,1.0475
0.6123,-1030362.7073,3.0351,2.6615
0.6123,-1030362.7073,3.0351,0.9784
0.6236,-1029995.9396,3.0351,1.5107
0.6236,-1029995.9396,3.0351,0.2947
0.6236,-1029995.9396,3.0351,1.2093
0.6236,-1029995.9396,3.0351,2.5702
0.6236,-1029995.9396,3.0351,1.0318
0.6236,-1029995.9396,3.0351,2.8632
0.6236,-1029995.9396,3.0351,1.2357
0.6236,-1029995.9396,3.0351,2.1579
0.6236,-1029995.9396,3.0351,2.623
0.6236,-1029995.9396,3.0351,2.4848
0.6236,-1029995.9396,3.0351,1.3031
0.6236,-1029995.9396,3.0351,0.293
0.6236,-1029995.9396,3.0351,1.3378
0.6153,-1029900.3514,3.0351,2.0183
0.6153,-1029900.3514,3.0351,1.324
0.6179,-1029709.7474,3.0351,1.8588
0.6179,-1029709.7474,3.0351,2.5486
0.6179,-1029709.7474,3.0351,1.3488
0.6179,-1029709.7474,3.0351,3.0493
0.6179,-1029709.7474,3.0351,1.0002
0.6179,-1029709.7474,3.0351,0.5993
0.6179,-1029709.7474,3.0351,1.651
0.6179,-1029709.7474,3.0351,1.2561
0.6179,-1029709.7474,3.0351,0.6735
0.6179,-1029709.7474,3.0351,0.8901
0.6179,-1029709.7474,3.0351,2.0069
0.6179,-1029709.7474,3.0351,0.4204
0.6179,-1029709.7474,3.0351,2.2658
0.6179,-1029709.7474,3.0351,0.7299
0.6179,-1029709.7474,3.0351,1.1447
0.6179,-1029709.7474,3.0351,0.9421
0.6179,-1029709.7474,3.0351,1.2468
0.6179,-1029709.7474,3.0351,1.878
0.6179,-1029709.7474,3.0351,1.2141
0.6179,-1029709.7474,3.0351,3.2841
0.6179,-1029709.7474,3.0351,1.1575
0.6179,-1029709.7474,3.0351,2.3317
0.6179,-1029709.7474,3.0351,2.9949
0.6179,-1029709.7474,3.0351,1.1382
0.6179,-1029709.7474,3.0351,2.255
0.6179,-1029709.7474,3.0351,3.0651
0.6179,-1029709.7474,3.0351,0.5046
0.6179,-1029709.7474,3.0351,0.7001
0.6179,-1029709.7474,3.0351,0.5504
0.6179,-1029709.7474,3.0351,1.2002
0.6179,-1029709.7474,3.0351,2.0427
0.6179,-1029709.7474,3.0351,2.3603
0.6179,-1029709.7474,3.0351,1.066
0.6179,-1029709.7474,3.0351,1.3693
0.6179,-1029709.7474,3.0351,2.2511
0.6179,-1029709.7474,3.0351,2.1168
0.6179,-1029709.7474,3.0351,0.3898
0.6179,-1029709.7474,3.0351,3.3408
0.6179,-1029709.7474,3.0351,0.7243
0.6179,-1029709.7474,3.0351,1.4633
0.6179,-1029709.7474,3.0351,2.7316
0.6179,-1029709.7474,3.0351,2.1033
0.6179,-1029709.7474,3.0351,1.4003
0.6179,-1029709.7474,3.0351,0.5455
0.6179,-1029709.7474,3.0351,2.476
0.6179,-1029709.7474,3.0351,0.8628
0.6179,-1029709.7474,3.0351,2.0797
0.6179,-1029709.7474,3.0351,3.2509
0.6179,-1029709.7474,3.0351,1.5602
0.6179,-1029709.7474,3.0351,2.4753
0.6179,-1029709.7474,3.0351,1.49
0.6179,-1029709.7474,3.0351,0.7796
0.6179,-1029709.7474,3.0351,1.0722
0.6179,-1029709.7474,3.0351,3.2625
0.6179,-1029709.7474,3.0351,1.3759
0.6179,-1029709.7474,3.0351,0.9548
0.6179,-1029709.7474,3.0351,1.6896
0.6179,-1029709.7474,3.0351,1.2929
0.6179,-1029709.7474,3.0351,0.9837
0.6179,-1029709.7474,3.0351,1.1664
0.6179,-1029709.7474,3.0351,1.9428
0.6179,-1029709.7474,3.0351,1.3581
0.6188,-1029690.8763,3.0351,1.8036
0.6188,-1029690.8763,3.0351,2.1237
0.6188,-1029690.8763,3.0351,1.5701
0.6188,-1029690.8763,3.0351,0.4314
0.6188,-1029690.8763,3.0351,3.0918
0.6188,-1029690.8763,3.0351,3.196
0.6188,-1029690.8763,3.0351,1.6048
0.6188,-1029690.8763,3.0351,1.6012
0.6188,-1029690.8763,3.0351,0.6825
0.6188,-1029690.8763,3.0351,0.577
0.6188,-1029690.8763,3.0351,2.5432
0.6188,-1029690.8763,3.0351,0.5831
0.6188,-1029690.8763,3.0351,1.3753
0.6188,-1029690.8763,3.0351,1.4794
0.6188,-1029690.8763,3.0351,1.4147
0.6188,-1029690.8763,3.0351,2.4544
0.6188,-1029690.8763,3.0351,2.0109
0.6188,-1029690.8763,3.0351,1.7208
0.6188,-1029690.8763,3.0351,2.8197
0.6188,-1029690.8763,3.0351,0.3137
0.6188,-1029690.8763,3.0351,1.1532
0.6188,-1029690.8763,3.0351,3.1084
0.6188,-1029690.8763,3.0351,2.8323
0.6188,-1029690.8763,3.0351,1.6921
0.6188,-1029690.8763,3.0351,0.6476
0.6188,-1029690.8763,3.0351,0.7319
0.6188,-1029690.8763,3.0351,1.2145
0.6188,-1029690.8763,3.0351,0.6206
0.6188,-1029690.8763,3.0351,0.9429
0.6188,-1029690.8763,3.0351,3.1449
0.6188,-1029690.8763,3.0351,3.1654
0.6188,-1029690.8763,3.0351,2.0924
0.6188,-1029690.8763,3.0351,2.9933
0.6188,-1029690.8763,3.0351,0.2905
0.6188,-1029690.8763,3.0351,0.6385
0.6188,-1029690.8763,3.0351,0.4261
0.6188,-1029690.8763,3.0351,0.9548
0.6188,-1029690.8763,3.0351,0.3976
0.6188,-1029690.8763,3.0351,2.6918
0.6188,-1029690.8763,3.0351,2.642
0.6188,-1029690.8763,3.0351,1.119
0.6188,-1029690.8763,3.0351,1.6958
0.6188,-1029690.8763,3.0351,3.2561
0.6188,-1029690.8763,3.0351,0.3909
0.6188,-1029690.8763,3.0351,0.4966
0.6188,-1029690.8763,3.0351,1.4299
0.6188,-1029690.8763,3.0351,2.2198
0.6188,-1029690.8763,3.0351,0.6847
0.6188,-1029690.8763,3.0351,3.0575
0.6188,-1029690.8763,3.0351,0.9451
0.6188,-1029690.8763,3.0351,0.8362
0.6188,-1029690.8763,3.0351,3.2589
0.6188,-1029690.8763,3.0351,1.9668
0.6188,-1029690.8763,3.0351,0.7999
0.6188,-1029690.8763,3.0351,1.5408
0.6188,-1029690.8763,3.0351,1.8421
0.6188,-1029690.8763,3.0351,1.4845
0.6188,-1029690.8763,3.0351,2.5009
0.6188,-1029690.8763,3.0351,3.0245
0.6188,-1029690.8763,3.0351,0.6364
0.6188,-1029690.8763,3.0351,0.3007
0.6188,-1029690.8763,3.0351,3.2862
0.6188,-1029690.8763,3.0351,0.4914
0.6188,-1029690.8763,3.0351,1.8847
0.6188,-1029690.8763,3.0351,2.6364
0.6188,-1029690.8763,3.0351,1.1502
0.6188,-1029690.8763,3.0351,3.2666
0.6188,-1029690.8763,3.0351,1.559
0.6188,-1029690.8763,3.0351,2.293
0.6188,-1029690.8763,3.0351,1.7542
0.6188,-1029690.8763,3.0351,2.4156
0.6188,-1029690.8763,3.0351,0.5702
0.6188,-1029690.8763,3.0351,2.5293
0.6188,-1029690.8763,3.0351,0.4704
0.6188,-1029690.8763,3.0351,0.5553
0.6188,-1029690.8763,3.0351,1.8189
0.6188,-1029690.8763,3.0351,0.422
0.6188,-1029690.8763,3.0351,0.5549
0.6188,-1029690.8763,3.0351,3.1928
0.6188,-1029690.8763,3.0351,2.1989
0.6188,-1029690.8763,3.0351,1.8551
0.6188,-1029690.8763,3.0351,0.392
0.6188,-1029690.8763,3.0351,1.267
0.6188,-1029690.8763,3.0351,2.8513
0.6188,-1029690.8763,3.0351,0.3397
0.6188,-1029690.8763,3.0351,1.0074
0.6188,-1029690.8763,3.0351,2.9012
0.6188,-1029690.8763,3.0351,0.9991
0.6188,-1029690.8763,3.0351,1.8336
0.6188,-1029690.8763,3.0351,1.4057
0.6188,-1029690.8763,3.0351,1.5997
0.6188,-1029690.8763,3.0351,0.4694
0.6188,-1029690.8763,3.0351,1.1567
0.6188,-1029690.8763,3.0351,2.5383
0.6188,-1029690.8763,3.0351,1.7053
0.6188,-1029690.8763,3.0351,2.3423
0.6188,-1029690.8763,3.0351,2.3133
0.6188,-1029690.8763,3.0351,2.7057
0.6188,-1029690.8763,3.0351,1.5763
0.6188,-1029690.8763,3.0351,1.6734
0.6188,-1029690.8763,3.0351,3.0465
0.6188,-1029690.8763,3.0351,3.2401
0.6188,-1029690.8763,3.0351,2.3279
0.6188,-1029690.8763,3.0351,2.9113
0.6188,-1029690.8763,3.0351,2.0651
0.6188,-1029690.8763,3.0351,2.9213
0.6188,-1029690.8763,3.0351,2.7743
0.6188,-1029690.8763,3.0351,1.8578
0.6188,-1029690.8763,3.0351,2.4027
0.6188,-1029690.8763,3.0351,1.915
0.6188,-1029690.8763,3.0351,3.1226
0.6188,-1029690.8763,3.0351,2.2733
0.6188,-1029690.8763,3.0351,2.6271
0.6188,-1029690.8763,3.0351,0.4881
0.6188,-1029690.8763,3.0351,2.8813
0.6188,-1029690.8763,3.0351,0.6367
0.6188,-1029690.8763,3.0351,1.7559
0.6188,-1029690.8763,3.0351,3.2021
0.6188,-1029690.8763,3.0351,2.9675
0.6188,-1029690.8763,3.0351,0.6698
0.6188,-1029690.8763,3.0351,1.2189
0.6188,-1029690.8763,3.0351,2.8089
0.6188,-1029690.8763,3.0351,3.2254
0.6188,-1029690.8763,3.0351,2.9808
0.6188,-1029690.8763,3.0351,3.1954
0.6188,-1029690.8763,3.0351,0.4807
0.6188,-1029690.8763,3.0351,2.7509
0.6188,-1029690.8763,3.0351,0.5772
0.6188,-1029690.8763,3.0351,3.118
0.6188,-1029690.8763,3.0351,1.2053
0.6188,-1029690.8763,3.0351,1.4005
0.6188,-1029690.8763,3.0351,1.1559
0.6188,-1029690.8763,3.0351,2.8136
0.6188,-1029690.8763,3.0351,2.2312
0.6188,-1029690.8763,3.0351,1.1059
0.6188,-1029690.8763,3.0351,3.1979
0.6188,-1029690.8763,3.0351,2.0465
0.6188,-1029690.8763,3.0351,3.1872
0.6188,-1029690.8763,3.0351,1.9919
0.6188,-1029690.8763,3.0351,0.8424
0.6188,-1029690.8763,3.0351,2.9248
0.6188,-1029690.8763,3.0351,1.9936
0.6188,-1029690.8763,3.0351,0.9713
0.6188,-1029690.8763,3.0351,0.5053
0.6188,-1029690.8763,3.0351,2.1297
0.6188,-1029690.8763,3.0351,3.1649
0.6188,-1029690.8763,3.0351,0.6274
0.6188,-1029690.8763,3.0351,2.2204
0.6188,-1029690.8763,3.0351,1.485
0.6188,-1029690.8763,3.0351,2.1848
0.6188,-1029690.8763,3.0351,2.0196
0.6188,-1029690.8763,3.0351,0.989
0.6188,-1029690.8763,3.0351,0.7007
0.6188,-1029690.8763,3.0351,0.5814
0.6188,-1029690.8763,3.0351,2.9325
0.6188,-1029690.8763,3.0351,0.7436
0.6188,-1029690.8763,3.0351,2.2728
0.6188,-1029690.8763,3.0351,1.6949
0.6188,-1029690.8763,3.0351,3.2187
0.6188,-1029690.8763,3.0351,1.7422
0.6188,-1029690.8763,3.0351,1.0211
0.6188,-1029690.8763,3.0351,0.8876
0.6188,-1029690.8763,3.0351,2.3039
0.6188,-1029690.8763,3.0351,1.977
0.6188,-1029690.8763,3.0351,1.4463
0.6188,-1029690.8763,3.0351,0.6943
0.6188,-1029690.8763,3.0351,2.8047
0.6188,-1029690.8763,3.0351,3.263
0.6188,-1029690.8763,3.0351,2.8299
0.6188,-1029690.8763,3.0351,2.282
0.6188,-1029690.8763,3.0351,1.9904
0.6188,-1029690.8763,3.0351,1.2697
0.6188,-1029690.8763,3.0351,1.6084
0.6188,-1029690.8763,3.0351,1.4724
0.6188,-1029690.8763,3.0351,2.6422
0.6188,-1029690.8763,3.0351,0.7853
0.6188,-1029690.8763,3.0351,2.3227
0.6188,-1029690.8763,3.0351,0.4052
0.6188,-1029690.8763,3.0351,2.6804
0.6188,-1029690.8763,3.0351,1.8161
0.6188,-1029690.8763,3.0351,1.6344
0.6188,-1029690.8763,3.0351,2.1729
0.6188,-1029690.8763,3.0351,0.957
0.6188,-1029690.8763,3.0351,2.6206
0.6188,-1029690.8763,3.0351,2.5411
0.6188,-1029690.8763,3.0351,3.2978
0.6188,-1029690.8763,3.0351,0.7325
0.6188,-1029690.8763,3.0351,2.6199
0.6188,-1029690.8763,3.0351,3.3051
0.6188,-1029690.8763,3.0351,0.9245
0.6188,-1029690.8763,3.0351,1.9789
0.6188,-1029690.8763,3.0351,0.7927
0.6188,-1029690.8763,3.0351,2.2443
0.6188,-1029690.8763,3.0351,1.2155
0.6188,-1029690.8763,3.0351,0.7145
0.6188,-1029690.8763,3.0351,0.4661
0.6188,-1029690.8763,3.0351,1.9308
0.6188,-1029690.8763,3.0351,3.1147
0.6188,-1029690.8763,3.0351,1.5231
0.6188,-1029690.8763,3.0351,1.7659
0.6188,-1029690.8763,3.0351,0.6584
0.6188,-1029690.8763,3.0351,2.1887
0.6188,-1029690.8763,3.0351,3.049
0.6191,-1029689.9492,3.0351,1.7857
0.6191,-1029689.9492,3.0351,0.4684
0.6191,-1029689.9492,3.0351,1.5745
0.6191,-1029689.9492,3.0351,2.7909
0.6191,-1029689.9492,3.0351,0.5517
0.6191,-1029689.9492,3.0351,2.9821
0.6192,-1029690.2737,3.0351,1.7788
0.6192,-1029690.2737,3.0351,1.0858
0.6192,-1029690.2737,3.0351,2.13
0.6192,-1029690.2737,3.0351,2.3617
0.6192,-1029690.2737,3.0351,1.8318
0.6192,-1029690.2737,3.0351,3.1175
0.6192,-1029690.2737,3.0351,2.4499
0.6192,-1029690.2737,3.0351,2.3033
0.6192,-1029690.2737,3.0351,1.1564
0.6192,-1029690.2737,3.0351,1.963
0.6192,-1029690.2737,3.0351,0.4869
0.6192,-1029690.2737,3.0351,0.8088
0.6192,-1029690.2737,3.0351,1.1252
0.6192,-1029690.2737,3.0351,0.3473
0.6192,-1029690.2737,3.0351,3.1691
0.6192,-1029690.2737,3.0351,3.1617
0.6192,-1029690.2737,3.0351,0.7615
0.6192,-1029690.2737,3.0351,1.8676
0.6192,-1029690.2737,3.0351,2.4992
0.6192,-1029690.2737,3.0351,0.8705
0.6192,-1029690.2737,3.0351,0.8498
0.6192,-1029690.2559,3.0351,1.779
0.6192,-1029690.2559,3.0351,0.52
0.6192,-1029690.2559,3.0351,2.6897
0.6192,-1029690.2559,3.0351,2.0834
0.6192,-1029690.2559,3.0351,1.9696
0.6192,-1029690.2559,3.0351,0.4069
0.6192,-1029690.2559,3.0351,0.5519
0.6192,-1029690.2559,3.0351,3.294
0.6192,-1029690.2559,3.0351,1.6523
0.6192,-1029690.2559,3.0351,0.8019
0.6192,-1029690.2559,3.0351,1.4448
0.6192,-1029690.2559,3.0351,0.7857
0.6192,-1029690.2559,3.0351,1.4472
0.6192,-1029690.2559,3.0351,1.9568
0.6192,-1029690.2559,3.0351,1.9494
0.6192,-1029690.2559,3.0351,1.258
0.6192,-1029690.2559,3.0351,1.5582
0.6192,-1029690.2559,3.0351,0.2595
0.6192,-1029690.2559,3.0351,1.1872
0.6192,-1029690.2559,3.0351,2.0784
0.6192,-1029690.2559,3.0351,2.5545
0.6192,-1029690.2559,3.0351,1.8361
0.6192,-1029690.2559,3.0351,2.9617
0.6192,-1029690.2559,3.0351,0.5873
0.6192,-1029690.2559,3.0351,2.3644
0.6192,-1029690.2559,3.0351,1.295
0.6192,-1029690.2559,3.0351,0.3069
0.6192,-1029690.2559,3.0351,2.8285
0.6192,-1029690.2559,3.0351,0.8195
0.6192,-1029690.2559,3.0351,0.6004
0.6192,-1029690.2559,3.0351,0.6729
0.6192,-1029690.2559,3.0351,0.7141
0.6192,-1029690.2559,3.0351,2.2995
0.6192,-1029690.2559,3.0351,2.5756
0.6192,-1029690.2559,3.0351,2.7616
0.6192,-1029690.2559,3.0351,0.9901
0.6192,-1029690.2559,3.0351,1.426
0.6192,-1029690.2559,3.0351,0.6468
0.6192,-1029690.2559,3.0351,1.8611
0.6192,-1029690.2559,3.0351,0.7644
0.6192,-1029690.2559,3.0351,2.6756
0.6192,-1029690.2559,3.0351,1.4843
0.6192,-1029690.2559,3.0351,0.3121
0.6192,-1029690.2559,3.0351,0.8673
0.6192,-1029690.2559,3.0351,2.2015
0.6192,-1029690.2559,3.0351,2.9031
0.6192,-1029690.2559,3.0351,0.8395
0.6192,-1029690.2559,3.0351,3.0178
0.6192,-1029690.2559,3.0351,2.0665
0.6192,-1029690.2559,3.0351,3.041
0.6192,-1029690.2559,3.0351,3.1447
0.6192,-1029690.2559,3.0351,2.7207
0.6192,-1029690.2559,3.0351,2.9111
0.6192,-1029690.2559,3.0351,1.0787
0.6192,-1029690.2559,3.0351,0.5585
0.6192,-1029690.2559,3.0351,0.6422
0.6192,-1029690.2559,3.0351,2.1485
0.6192,-1029690.2559,3.0351,1.731
0.6192,-1029690.2559,3.0351,2.1168
0.6192,-1029690.2559,3.0351,2.0762
0.6192,-1029690.2559,3.0351,2.1347
0.6192,-1029690.2559,3.0351,0.6204
0.6192,-1029690.2559,3.0351,1.9978
0.6192,-1029690.2559,3.0351,0.6688
0.6192,-1029690.2559,3.0351,1.536
0.6192,-1029690.2559,3.0351,1.0788
0.6192,-1029690.2559,3.0351,2.9403
0.6192,-1029690.2559,3.0351,1.6767
0.6192,-1029690.2559,3.0351,1.4823
0.6192,-1029690.2559,3.0351,0.4615
0.6192,-1029690.2559,3.0351,1.6336
0.6192,-1029690.2559,3.0351,3.2137
0.6192,-1029690.2559,3.0351,0.2635
0.6192,-1029690.2559,3.0351,0.7145
0.6192,-1029690.2559,3.0351,1.958
0.6192,-1029690.2559,3.0351,0.9286
0.6192,-1029690.2559,3.0351,1.8918
0.6192,-1029690.2559,3.0351,1.238
0.6192,-1029690.2559,3.0351,2.8793
0.6192,-1029690.2559,3.0351,0.4682
0.6192,-1029690.2559,3.0351,2.0245
0.6192,-1029690.2559,3.0351,3.172
0.6192,-1029690.2559,3.0351,1.4173
0.6192,-1029690.2559,3.0351,0.468
0.6192,-1029690.2559,3.0351,0.8329
0.6192,-1029690.2559,3.0351,1.2745
0.6192,-1029690.2559,3.0351,0.5835
0.6192,-1029690.2559,3.0351,2.556
0.6192,-1029690.2559,3.0351,1.1798
0.6192,-1029690.2559,3.0351,3.2814
0.6192,-1029690.2559,3.0351,1.4591
0.6191,-1029690.0072,3.0351,1.7836
0.6191,-1029690.0072,3.0351,1.4838
0.6191,-1029690.0072,3.0351,1.8999
0.6191,-1029690.0072,3.0351,1.5233
0.6191,-1029690.0072,3.0351,0.7739
0.6191,-1029690.0072,3.0351,1.6364
0.6191,-1029690.0072,3.0351,1.0716
0.6191,-1029690.0072,3.0351,0.9472
0.6191,-1029690.0072,3.0351,0.9046
0.6191,-1029690.0072,3.0351,2.8222
0.6191,-1029690.0072,3.0351,2.4412
0.6191,-1029690.0072,3.0351,0.941
0.6191,-1029690.0072,3.0351,3.0628
0.6191,-1029690.0072,3.0351,1.7127
0.6191,-1029690.0072,3.0351,2.3707
0.6191,-1029690.0072,3.0351,2.4112
0.6191,-1029690.0072,3.0351,3.1917
0.6191,-1029690.0072,3.0351,2.2888
0.6191,-1029690.0072,3.0351,0.8403
0.6191,-1029690.0072,3.0351,0.3925
0.6191,-1029690.0072,3.0351,2.3565
0.6191,-1029690.0072,3.0351,3.1494
0.6191,-1029690.0072,3.0351,2.2009
0.6191,-1029690.0072,3.0351,0.4322
0.6191,-1029690.0072,3.0351,2.7357
0.6191,-1029690.0072,3.0351,0.4653
0.6191,-1029690.0072,3.0351,0.3178
0.6191,-1029690.0072,3.0351,0.8088
0.6191,-1029690.0072,3.0351,2.0751
0.6191,-1029690.0072,3.0351,0.9521
0.6191,-1029690.0072,3.0351,1.6934
0.6191,-1029690.0072,3.0351,3.2477
0.6191,-1029690.0072,3.0351,0.8586
0.6191,-1029690.0072,3.0351,2.2723
0.6191,-1029690.0072,3.0351,1.1211
0.6191,-1029690.0072,3.0351,1.6259
0.6191,-1029690.0072,3.0351,2.7913
0.6191,-1029690.0072,3.0351,1.1673
0.6191,-1029690.0072,3.0351,0.6794
0.6191,-1029690.0072,3.0351,1.5899
0.6191,-1029690.0072,3.0351,2.1482
0.6191,-1029690.0072,3.0351,3.026
0.6191,-1029690.0072,3.0351,2.2625
0.6191,-1029690.0072,3.0351,0.2766
0.6191,-1029690.0072,3.0351,2.9047
0.6191,-1029690.0072,3.0351,1.8528
0.6191,-1029690.0072,3.0351,0.4748
0.6191,-1029690.0072,3.0351,0.8427
0.6191,-1029690.0072,3.0351,0.9853
0.6191,-1029690.0072,3.0351,3.0786
0.6191,-1029690.0072,3.0351,2.6937
0.6191,-1029690.0072,3.0351,2.7637
0.6191,-1029690.0072,3.0351,0.5321
0.6191,-1029690.0072,3.0351,2.7614
0.6191,-1029690.0072,3.0351,3.1499
0.6191,-1029690.0072,3.0351,3.186
0.6191,-1029690.0072,3.0351,1.468
0.6191,-1029690.0072,3.0351,1.7258
0.6191,-1029690.0072,3.0351,0.4919
0.6191,-1029690.0072,3.0351,0.3515
0.6191,-1029690.0072,3.0351,3.2837
0.6191,-1029690.0072,3.0351,1.7165
0.6191,-1029690.0072,3.0351,1.3148
0.6191,-1029690.0072,3.0351,1.923
0.6191,-1029690.0072,3.0351,2.9005
0.6191,-1029690.0072,3.0351,3.097
0.6191,-1029690.0072,3.0351,0.813
0.6191,-1029690.0072,3.0351,0.9216
0.6191,-1029690.0072,3.0351,0.349
0.6191,-1029690.0072,3.0351,1.3872
0.6191,-1029690.0072,3.0351,2.0933
0.6191,-1029690.0072,3.0351,1.2189
0.6191,-1029690.0072,3.0351,1.2466
0.6191,-1029690.0072,3.0351,0.8987
0.6191,-1029690.0072,3.0351,1.0353
0.6191,-1029690.0072,3.0351,2.0624
0.6191,-1029690.0072,3.0351,2.8452
0.6191,-1029690.0072,3.0351,2.1426
0.6191,-1029690.0072,3.0351,0.433
0.6191,-1029690.0072,3.0351,3.0071
0.6191,-1029690.0072,3.0351,0.6985
0.6191,-1029690.0072,3.0351,2.945
0.6191,-1029690.0072,3.0351,2.8824
0.6191,-1029690.0072,3.0351,1.8512
0.6191,-1029690.0072,3.0351,3.1313
0.6191,-1029690.0072,3.0351,0.5557
0.6191,-1029690.0072,3.0351,1.3153
0.6191,-1029690.0072,3.0351,0.3439
0.6191,-1029690.0072,3.0351,1.8047
0.6191,-1029690.0072,3.0351,2.9512
0.6191,-1029690.0072,3.0351,2.4692
0.6191,-1029690.0072,3.0351,2.6502
0.6191,-1029690.0072,3.0351,0.4314
0.6191,-1029690.0072,3.0351,1.291
0.6191,-1029690.0072,3.0351,2.9125
0.6191,-1029690.0072,3.0351,2.114
0.6192,-1029690.0862,3.0351,1.7818
0.6192,-1029690.0862,3.0351,2.6229
0.6192,-1029690.0862,3.0351,1.9442
0.6192,-1029690.0862,3.0351,3.0552
0.6192,-1029690.0862,3.0351,2.5714
0.6192,-1029690.0862,3.0351,2.6175
0.6192,-1029690.0862,3.0351,0.7911
0.6192,-1029690.0862,3.0351,2.5582
0.6192,-1029690.0862,3.0351,2.0044
0.6192,-1029690.0862,3.0351,1.1187
0.6192,-1029690.0862,3.0351,1.0522
0.6192,-1029690.0862,3.0351,1.7335
0.6192,-1029690.0862,3.0351,3.2315
0.6192,-1029690.0862,3.0351,1.2148
0.6192,-1029690.0862,3.0351,1.2577
0.6192,-1029690.0862,3.0351,1.9892
0.6192,-1029690.0862,3.0351,2.0179
0.6192,-1029690.0862,3.0351,3.1292
0.6192,-1029690.0862,3.0351,1.8264
0.6192,-1029690.0862,3.0351,3.0252
0.6192,-1029690.0862,3.0351,0.9415
0.6192,-1029690.0862,3.0351,2.3215
0.6193,-1029690.6229,3.0351,1.7749
0.6193,-1029690.6229,3.0351,1.8741
0.6193,-1029690.6229,3.0351,2.1586
0.6193,-1029690.6229,3.0351,1.9319
0.6193,-1029690.6229,3.0351,0.9364
0.6193,-1029690.6229,3.0351,1.0712
0.6191,-1029689.934,3.0351,1.7867
0.6191,-1029689.934,3.0351,3.1531
0.6191,-1029689.934,3.0351,2.4475
0.6191,-1029689.934,3.0351,2.9232
0.6191,-1029689.934,3.0351,1.9348
0.6191,-1029689.934,3.0351,0.8466
0.6191,-1029689.934,3.0351,2.4755
0.6191,-1029689.934,3.0351,2.0249
0.6191,-1029689.934,3.0351,0.6693
0.6191,-1029689.934,3.0351,3.2176
0.6191,-1029689.934,3.0351,2.7099
